rhyme scheme	stanza
ABAB	"Fanger skipet nå forlater,
én for én, bevoktet, lenket.
Paulus dog i byens gater
blir ei av bevoktning krenket."
AABB	"Høvedsmannen tror sin fange,
for hans flukt han er ei bange.
Snart står Paulus så tilfreds
i en kristen broderkrets."
AABB	"Fremmed i et fremmedland,
kjent og kjær dog vorder han.
Kristi navn dem sammen binder.
Som en drøm en uke svinner."
ABCDEFFG	"Under streng bevoktning drog
så en dag et fangetog
mellom blink av lange lanser
på den frodige Campagna.
Her, imellom mørke rammer
av cypresser, palmer, pinjer,
slynger seg i bløte linjer
kongeveien, Via Appia."
AABB	"Tredje reisedag ved kveld
når de, trette, dog med hell
Der en stor, uventet glede
for apostelen er rede:"
AABB	"Helt fra Rom er kommet venner,
som med smil og varme hender
hilser ham med glede stor
som en velkjent venn og bror."
ABAAB	"Ja forvisst, han er dem kjent; 
snart er løst den dunkle gåde:
brevet som han har dem sendt
fordum fra Korint, har spent
mellom dem de skjulte tråde."
AABCCB	"I et venneøyes smil
druknet ofte sorg og tvil.
Kjære venners godhet tenner
håbets lys i Pauli hu,
når med fryktsomt sinn han nu
seg mot verdensstaden vender."
ABCBACDDEFEFE	"Og nå rykker målet nær.
Femte dag mot kvelden haster.
I det larmende kvarter
nå den siste natt de raster.
Og i neste dagnings skjær
Paulus ifra høyden ser
milevidt Campagnen bølger.
Når han så med blikket følger
veiens brede, rette spor
ser for første gang hans øye,
som en gråhvit sky i nord,
på de syv berømte høye,
verdensstaden trygg og stor."
ABAB	"Og som toget fremad skrider,
medens dagen langsomt svinner,
reiser seg på veiens sider
døde slekters stolte minner."
AABCBDCD	"Praktfullt, overdådig, strekker
seg i endeløse rekker
billedstøtter, bautastene,
mausoléer, minnesmerker,
hvite, skjære, marmorrene, 
eller mosgrodd, grå av elde,
en alle av mesterverker.
Vidnesbyrd om Romas velde."
ABCDCDABEEBFFGG	"Men ei død ens skjønnhet blott,
også li v et s her man skuer.
I de dunkle lunders skygger,
opad klippenes terrasser
Romas rikfolk bor og bygger.
Her er borger og palasser, 
av og til en fyrstes slott
reiser seg, med stolte buer,
tårne, søyler, architraver,
i en krans av skjønne haver
fylt av roser, ranker, druer,
under sydens forårshimmel.
Veien er en samlet vrimmel,
som i broget prakt omspenner
alle aldre, alle stender."
ABBA	"Se for liv i sceneriet:
Vårens blomstring, høstens øde,
livets terningkast blandt døde,
jordens ætt til jorden viet."
AABCBDDEFEGC	"Her er sorgløshetens latter,
her er spørsmål og debatter.
Her er folk som spøker, spaser,
folk med hastverk, folk i mak.
Her er fattigdommens laser,
slitets trell, forkrøblet, trett,
levemannen, fet og mett,
tungt belessede slavinner,
tause, og med sløve sanser,
her er stolte romerinner,
som i ensom storhet pranger
under bærestolens tak."
ABACDCEEFF	"Av og til en enkelt stanser
for å se de trette fanger,
voktet av de blanke lanser.
Ingen tenker, ingen aner
at i dette fangetog
går en mann med større planer
enn den største helt som slo
landets fiender, og dro
under folkejublens flom
seierskranset inn i Rom."
ABCBDD	"At når alle helter segner
bleke, blødende i døden,
at når alle navne blegner
stjerner lik i morgenrøden,
skal til jordens ende hans
stå i dagens fulle glans."
ABCB	"Den store fange sitter
med hånden under kinn;
så mange tanker krysser
igjennom sjel og sinn."
ABCB	"Hans lengsels mål er rukket,
den lange reise slutt,
men akk, så sent det lyktes,
hans beste kraft er brutt."
ABCB	"Vel er hans lenker løsnet,
han slipper hugg og slag,
uhindret kan han tjene
sin mester dag for dag."
ABCB	"Dog er hans vei bevoktet,
som fange hit han kom,
som fange enn han venter
av keiseren sin dom."
ABCB	"Og dagene blir uker
og ukene blir år.
Og årene de lange
strør sne i fangens hår."
ABCB	"Den høye panne senkes
av sorger dag og natt,
den ranke rygg blir krøket,
og øyets lys blir matt."
ABBCDED	"Men er hans rygg enn bøyet,
bevoktes enn hans dør,
til ørneflukt som før.
I tanken og i minnet
han ferdes viden om,
ti hegner han og freder
om hjertets helligdom."
ABCBDED	"Han går de gamle stier,
og stanser her og der.
Filippi dog for alle
hans hjerte ligger nær
hva sterkt han vet og tror.
Timoteus er hos ham,
og prenter hvert hans ord."
ABCB	"Han maner dem til troskap
i Kristus, som gjør sterk,
forvisset om at Herren
fullende vil sitt verk."
ABCB	"For ham er Kristus livet,
og døden kun hans venn.
For deres skyld dog gjerne
han elsker livet enn."
ABCB	"Hva engang hjertet blendet,
har tapt sin makt, sin glans.
Nå er hans hu kun livets
uvisnelige krans."
ABCB	"Hva jordens er skal visne
som høstens løv i jord;
men etter livets vintre
et evig forår gror."
ABCB	"«Så la bekymring fare;
gjør dagens strev til sang.
All godhets Gud i nåde
skal mette all deres trang."
ABCB	"Han bygger livets under
i skjul av støvets kår;
når støvets skranker faller,
hans verk fullkomment står."
ABCB	"Så la ei tidens skumring
fordunkle sjelens dag;
mot livets kyst oss fører
hver storm, hvert bølgeslag."
ABCB	"Hver lysning over ferden
er seirens englebud.
I hvert et solstreif spiller
et glimt av lysets Gud."
ABCB	"Vær signet, venner kjære,
min krone og min pryd;
Dere skjenket har mitt hjerte
på ny så stor en fryd."
ABCB	"Jeg takker dere for gaven,
den lettet mine kår;
mest dog for hjertelaget
som gjennom gaven slår."
ABCB	"Jeg armods kalk har drukket,
og prøvet sult og savn;
men også rike dager;
alt tjente meg til gavn."
ABCB	"Dog — armod eller rikdom
for meg så lite gjaldt;
i livets løp jeg lærte
å bli tilfreds med alt."
ABCB	"Gud fylle deres hjerter
til livets sol går ned,
med alle livsens goder,
men først og sist Guds fred."
ABCB	"Vi sender brødres hilsen,
vår fryd, vår strid er én.
Vårt hjertes skjulte streben
er livets prøvesten."
ABCB	"Så føler Kristi tjener
til alle folk sin gjeld.
Så bær han på sitt hjerte
de manges ve og vel."
ABCB	"Ei hugg og slag og fengsel
Hans arbeidstrang har slukt.
Enn løfter tidt sin vinge
den bundne ørn til flukt."
ABCB	"Så endelig i jubel
den store time slår,
da fri for bånd og lenker
den gamle fange står."
ABCB	"I takk hans hjerte skjelver,
Guds løfte var ei tant.
Tross natten lang og skummel
hans frihets morgen rant."
ABCB	"Og enn ham er beskåret
en rik og virksom dag.
På kjente trakter frydes
han enn i brødres lag."
ABCB	"Han ordner og befester;
han hugger trygge spor,
og skaper faste former
for rikets kår på jord."
TABBA	"SKARNPRAMMENE
Hver morgen ser jeg slepebåter våkne opp med stønn
og prustende stå ut ombrust av havets vinde.
Skarnprammer følger dem, lenkede og blinde,
de hører ikke klokkene og verftenes drønn."
ABBA	"Fornedrede av skjebnen, under alle tings forakt,
bærer de allverdens uhumskhed i sitt indre.
I den stille havn om natten ser de ingen stjerner tindre,
de tenker kun på morgnen og den hæslige frakt."
ABBA	"De slepes over heden i regnluft og i vind;
man åpner deres buker og tømmer ut i dypet
de stinkende ladninger til fiskene og krypet,
mens tåkene tilhyller dem med skittengrå spinn."
ABCA	"Ingen båter vil se dem, og de skys uten ord
av de hvitkledte skipe med losene som våger.
Kun hundene besøker dem, og skarnlystne måker
svever omkring mannen ved det skrikende ror."
ABBA	"De venter i sin skjensel kun på uværets dom
og de veldige vann som jordens smuss kan rense;
men deres fete utslett vil ingen bølger ense,
og forgjeves går de under i regnværets flom."
AABB	"Men da hin susen i meg selv tog av,
fornam jeg mot meg evighetens hav.
Og mine øyenlåg falt langsomt i,
jeg var for liv, jeg var for lede fri."
TAABCBC	"BYEN VED HAVET
O regndrypp i natten på fremmede steder
med fremmede sorger og fremmede gleder!
Og fjerne byer brenner
som stjernetåker slengt
i natten ned på strender
av navnløs duft bestenkt."
ABA	"sin gamle moders hånd
som etter ømhed verker
og vekk er drømmens ånd."
ABAB	"Der er satt seil på snekken
og nå går faren ned
tilsidst med seildugssekken,
og alle følger med."
ABAB	"Og faren selv tar roret
og skjøtet på sin lend,
mens gråten kvæler ordet
hos dem som står igjen."
ABAB	"Bak dem svinner bryggen
men gråten sår og lav
skal brenne ham i ryggen
tvers over alle hav!"
ABABCCI	"Jesus, gi seier, og la meg omsider
prøvet i kampen seierspris få!
Så skal med lovsang til evige tider
salig jeg hist i din helligdom stå,
der hvor ditt herlige navn og din ære
av dine frelste velsignet skal være!
(L. 78, 6.)"
ABCADDEEFI	"Guds ord det er vårt arvegods,
det våre barns skal være;
Gud, gi oss i vår grav den ros
vi holdt det høyt i ære
Det er vår hjelp i nød,
vår trøst i liv og død.
O Gud, hvordan det går,
la dog mens verden står,
det i vår ætt nedarves!
(Sl. 119, 105.)"
TABABAB	"SEEREN
Jeg satt på stranden og drømte,
og tusen år svandt hen,
mens tett forbi meg strømte
havet av døde menn
jeg en av de fordømte
som tidene glemte igjen."
ABCDCE	"Jeg skulle se dem bygge
og atter rive ned
Henover vannet skygger
fra skyer i evig flukt,
og glimt av iserygger
gjennom dønningen i en bukt."
ABAB	"Strømranden vugger og vugger
langs landet skummets krans,
og inn i fjellveggen hugger
en brenning uten stans."
ABAB	"I stranden maler havet
de harde sten til grus,
slik har det fra urtid gravet
i grunnen på tidens hus."
ABAB	"Og tidens hus vil falle
for disse bølgeslag,
men ennu har vi alle
for oss en evighetsdag!"
ABAB	"De mørke kroner svinger
i takt til det blanke hav,
på dagens og nattens vinger
bæres alt liv til sin grav."
ABAB	"Og havet blir ved å vugge
inn mot den åpne strand,
og bølgen blir ved å hugge
i fjellets fot sin tann."
ABAB	"Men urokkelig hviler klippen,
mens alt annet er underveis,
tiden er kun en trippen
av fugleben over dens gneis."
ABAB	"Dypt plantet står det faste
her i det strømmendes grunn.
O den som kunne kaste
et blikk til tingenes bunn!"
ABAB	"Jeg stirrer på dette bilde
og hvisker til stenens ånd:
Holder jeg her en kilde
til troen i min hånd?"
TABCB	"MACHÆRUSBORGEN
Der sitter en fange, ensom og stor,
på Machærus's stolte borg.
Om pannen bølger det rike hår,
mens blikket er senket i sorg."
ABCB	"Han vidnet med kraft. I ørneflukt
hans ånd over jord seg svang;
mot gudløshets feige ætt hans ord
som sverdhugg suste og sang."
ABCB	"Det falt uten skånsel på høy og lav
ja rammet selv kongens bryst,
så redsel og angst forstyrret hans ro
og de dyriske sansers lyst."
ABCB	"Og kongen fant ut at sikrest det var
å kneble den farlige munn,
så atter der kunde åndes fritt
i lystens og i lastens lund."
ABCB	"Et kall så stort, en gjerning så rik
på menneske aldri var lagt;
men Gud var hans kraft — fra moders liv
han stod med Guds ånd i pakt."
ABCB	"Og hvor jublet han stolt, da timen slo,
da han møtte Guds egen sønn !
Vel var byrden tung og offeret stort,
men større offerets lønn."
ABCD	"Hans gjerning var gjortt Da den Høyeste kom,
sin plass han så gjerne vek;
ei var han Messias, men kun hans venn,
som sank, når den større steg."
ABCB	"Til ensomme fengsel bar dagene bud
fra landet, hvor Mesteren for,
om folkets reisning, om massenes håp,
om hjertenes fryd i hans spor."
ABCB	"Ett manglet dog enn — det var kongenavn,
det var herskerens krone og krans.
Hva ventet han etter? Et ord av ham selv,
og makten og riket var hans."
ABCB	"For ensomme fange falt tiden lang.
Forgjeves  ei bud ble ham sendt.
Han var vel den rette?! En tvilens brann
i Døperens bryst var tent."
ABCB	"Han må ha visshet. De trofaste to,
som har lettet ham fengslets ve,
han sender avsted  de skal bringe ham bud
om alt de kan høre og se."
ABCB	"«O spør ham fra meg  sin tjener og venn
han kommer vel enn ihu? 
o spør ham fra meg om Messias han er,
eller ventes en annen ennu"
ABCB	"De to kom tilbake. Begeistringens glød
i øyet lyste og brant:
«Vi så ham, vi så ham! Herlig og skjønn
mellom tuseners flokk vi ham fant."
ABCB	"Spedalske var rene, og halte sprang,
og døvstumme priste Gud;
de blinde så, og for fattige lød
evangeliets herlige bud."
ABCB	"Dog underligst var, av alt vi så
i den store, bevegede stund,
en enkes sønn, der av døde var vakt
ved et ord fra Mesterens munn.» "
ABA	"Si, så dere ham? Hvorledes? Når?
«O ja, vi så ham. I hopen han stod
frisk som en blomst i vår.»"
ABCB	"Da demret Guds lys for Døperens syn,
han åndet, lettet og fri.
Messias! Messias! det tonet og sang
som en liflig og lys melodi."
ABCB	"Dog mørknet på ny de skarpe trekk,
i øyet sås tåreskjelv:
«Si, nevnte han intet om Døperens kår
bak Machærus's fengselshvelv ?"
ABCB	"«Han bad oss si hva vi hørte og så,
annet han nevnte ei
kun det la han' til: og salig er den,
som ikke forarges på meg.»"
ABCB	"Da bøyde han under Guds veiers vekt
sin sterke, grublende ånd 
«Jeg æret ham før i frihet og kraft,
nå skjer det ved fengsel og bånd.»"
ABCB	"Av purpur og silke, av perlers prakt
den kongelige hall er full;
det stråler av fakler, det tindrer av lys,
det skinner av marmor og gull!"
ABCB	"I rosers duft seg gjestenes flokk
forlyster med lek og sang, 
mens vinen skummer i gylne kar
under paukers og cymblers klang. "
ABCB	"På myk divan — mens vellyst og vin!
har sløret hans sinn og sans
Herodes seg strekker, mens lystent han ser
de halvnøkne lemmer i dans."
ABCB	"«Begjær, hva du vil, mitt skjønne barn,
du skal få det, jeg sverger derpå;
ja ber du om selve det halve land,
så lar jeg det gladelig gå.»"
ABCB	"Med moren til side Salome går:
«Å,; mor, gi meg nå et råd
Herodias skjelver av djevelsk fryd,
nå er det tid til dåd."
ABCB	"Hun hater hin Døper. «Han var en torn
på min ellers så sorgløse vei.
Nå skal han bøte. Min datters dans
har dømt mellom ham og meg.»"
ABCB	"Inn treder Salome i skinnende hall
derinne blir stille med ett
«Jeg ønsker, du Døperens hode meg gir
straks herinn på et brett !"
ABCB	"Herodes vakler. Han blekner av angst,
og hans lystige hoffmenn med.
Men angsten må skjules — befalingen skjer;
ei brytes en konges ed."
ABCB	"I kjellerens klamme, kvelende luft
går Døperen ensom sin gang;
fra oven lyder et dempet brus
av paukers og trommers klang."
ABCB	"Han bær sin kamelhårs kappe ennu,
så slunken rundt mager herd.
Da treder hans bødler i døren frem.
Han ser deres dragne sverd."
ABCB	"Da vender han ennu for siste gang
en tanke, vemodig og øm,
til ham som han gav sitt hele liv
og livets deiligste drøm."
ABCB	"Så rekker han villig sitt hode frem
under bønn til den fjerne venn.
Det faller — og bæres på gyllent fat
til moder og datter hen."
ABB	"Herodias ser på den lukkede munn,
de bleke, stivnede trekk;
som var hennes redsel og skrekk."
ABCD	"Inn bærer Salome sin danselønn,
enn drypper det røde blod.
Da festen er endt.  Machærus's borg
Herodes i hast forlot."
TABBA	"VED SINAI
Der er sang i Israels telter,
gleden skjelver gjennom leiren.
Folket takker Gud for seiren
og besynger sine helter."
AABBCD	"Farao er knust og knekket,
og Amaleks vinger stekket —
ørknens røvere er flyktet
allevegne kun ved ryktet
om det folk, hvis sterke Gud
fører av alle farer ut."
ABABCCA	"Rundt de tente gledesbål
folket aldri dog må glemme:
fjernt er reisens store mål.
Ennu er det ikke hjemme,
ennu får dets fot ei ro,
enn må glødes folkets tro,
enn må herdes viljens stål."
ABAB	"Enn er folket kun som barn —
såre lett dets arv kan spilles,
i det ondes lumske garn
kan det alt for hurtig hildes."
AABCBCDDEE	"Og som barnet ei kan fatte
hva det har i sine skatte,
som sin rikdom underfull
ei med flid og omhu verner,
men som gladelig sitt gull
bytter bort for malte stjerner
slik i blindhet folket veier
tankeløst hva stort det eier —
kaster hen for vær og vind
livet selv for livets skinn."
ABBACC	"Derfor må dets arv betrygges
gjennom lovens tavleskrifter,
som kan tøyle folkets drifter —
derfor må dets fremtid bygges
gjennom mange strenge bud
av en god, tålmodig Gud."
AABBCDCD	"Fra det siste hvilested
brøt de opp med leite fjed
vandret først ad øde sletter
hvor det hete sandstøv tretter.
Så tilfjells hvor toget bukter
seg mot høyden, skritt for skritt,
gjennom skar og dype slukter,
mellom murer av granitt."
AABBCDDCEEFFC	"Her og der en liten dal,
gressklædd, skyggefull og sval,
hvor en bekk i kløften synger,
hvor en busk sin krone gynger.
Så en dag de rekker frem
til det sted hvor Sinais fjelle
løfter seg i jettevelde
opp mot tordenskyens brem.
Her i disse klippers ly,
langt fra strid og våbengny,
har det trette folk omsider
funnet seg for lange tider
et bekvemt, et fredet hjem."
