sent_a	sent_b	rhyme
livet”? der bortpå knatten,	og ellers svart som natten,	1
Jeg husket med ett den annen	vidunderlig solblå stranden	1
Og kvinnen lyder. Mere lett	enn vandringsmannen våget vente	0
Vel var dens klædning ikke villvinsranker,	Nå er det en som gjør seg sine tanker:	1
Mesteren med vemod skuer	— denne sterke seiersgløden	0
Mens Norge slumrer i sitt sølvgrå panser,	og man er lam på tre å fire sanser,	1
Fabrikkens ukelønning er vel oftest nokså knapp.	Men det hviskes jo i porten! Og det knaker i en trapp.	1
som er selsynt og uten besværing.	mot en felles sak, men hver enkelt skilt ad,	0
Ja, han gjør. Dog ett alene	livets herre må han tjene,	1
mot sangen fra syd?	Han så nok min fryd.	1
i tidens store verksted går,	i dette nye frihets-stevne,	0
og ingen skjønhet som min sjel	vil bytte for det syn	0
hjertet, som fjellet, en dødens ørk.	Himlen er taus, som hulen er mørk	1
hvor norskdommens vinger i vannene slår,	et uttrykk for åndsvær og overflod,	0
selv det høye råd ei enser:	Armer rundt i luften fekter,	0
ble ei alene deres alders-smykke;	I den falt gnisten av min moders lyse	1
Så kjemper Saul fra dag til dag	i håpløs tross sitt tapte slag.	1
ved natt og dag det svir som åpent sår:	av tvil og mismot er hans hjerte krenket.	0
Trafikkens framgang viden om i landet	og statens årstid selv er grunn til blesten.	0
at de et rykte har til lands og vanns,	No gjelder det å vinne selv en krans,	1
går søndensuset og den blanke strøm.	mot himlen står som en forstenet drøm.	1
kunde trosse nød og død.	trofast under sannhets merke	0
Fjernt mellom skyer var å se	og over kuplen spiss og lett	0
H a m naget ei tvil, ham engstet ei døden,	Hans ansikt strålte i fredens glans,	0
Han fulgte dit der blålig bre	Der ligger med den øde strand,	0
Den klassiske kulturs forgylte dynd,	vellystens paradis, uskyldens skrekk,	0
ivrig mot den nære havn.	og av årene så lange	0
av krefter gyde åkren full	så ingensinne natt og død	0
som synger at du er den rike beboer	Det drønner i tunneler, stønner i broer,	1
Jeg vet også noen som solgte	har nølt og har rystet som løvet,	0
hvor allting er så stille og for stormene i le	som om her var den evige hvilen . . .	0
i trelldom for vinning, for jordens tant.	det folk hvis ånd er en lenket orm?	0
Gi meg lys, og gjør meg rede.	skal jeg tie, lakk min munn.	0
og indi bukten går vannet rundt	Fra evighet holdt det sådan på!	0
døde dage alt vårt liv.	drøm og dådløst tidsfordriv.	1
Guds vesens dyp er kjærlighet.	den over tid og rom seg hvelver,	0
som fryder den hungrige ganen !	man dypper sin leive i tranen.	1
Og jeg har hørt dets sukk i fremmed land,	og nå skal sorgens lange år få ende.	0
så titt du frelser endog din neste;	at den går hel gjennom kamp og fare	0
Også nå brast fangens strikke.	før de ser sitt offer bløde.	0
Andektige danser til tonenes takt	En evighet varer hans miskunnhets pakt,	1
av arisk kraft til hundrede procent.	de kom marsjerende med blikket tent	1
å sette på en nelde.	i all sin makt og velde,	1
som spant ham så fast i sitt spinn?	besnærende drømme	0
om slekten vår: den går på ski!	Men intet folk og intet land	0
og sus i løv og bølgespill	og flykt fra støv og ørkenild	1
Praktfullt, overdådig, strekker	mausoléer, minnesmerker,	0
«Spar dog ditt liv! Vi er alle tilstede.»	og ser i det flakkende lampeskinn	0
høvdingen i embedsskrud,	alle ett i samme ånd !	0
Der merkes ingen kongelig klang i hans tale	Da svarer Elias  og den ensomme mann	0
imot to verdner vaklende som sivet?	Vi kan ei løse oss fra verdenslivet,	1
mot hvem vi var bare å regne for dumdristig kryp 	ja, mens vi kjempet for livet i skogenes dyp	1
Hvor langt skal du, o kvinne med dit barn?	at også du er skyld i alt som skjer,	0
og se det glitre på skjær og flu	i evigheten som nå, som nu!	1
hjelp du som hjelpe kan.	min sjel fra synd og fare	0
hvor selve solen ikke sprer sitt ødsle skinn	som tusen gylne blink i gresset og i løvet!	0
Og midt i dagens lys og larm	og nattens trolldom på deg!	0
Det var Herr Peder, den lærde prest,	han hadde så stam en tunge,	0
Av og til han syntes kjenne	var hans gudehær kanhende	1
villig, hvis det blir kalt på, å dø for en ukjent venn	men denne gang må du, hjerte, få kraft til å strekke til	0
og tent av himlene. Men så kom frosten	Men se! Den strenge Gud har etterlatt den	0
Og i slottets smukke sale	er forstummet sang og tale.	1
Uten glans og mot	trør skogen	0
Over sumper, over elver, over øde steppers sand,	gjennom ville bjerge, røveres og rovdyrs hjem,	0
da tankene strømmet som sol gjennom hjernens sky	da  i vår barndoms gylne og skinnende gry,	1
hans fot er trett av den tunge gang.	Hans kinn er blekt av den faste så lang,	1
i den lave og fattige hage,	da våren lå over dit skjød	0
Svar meg! Så folkets nød må få ende.	hvem som er Gud over himmel og jord.	0
Men himlen var klar, og luften tørr.	Han bønfalt på ny, mere sterkt enn før.	1
Elias lytter — — men allting sover.	mens minnenes åndedrag skjelver derover.	1
og kysser med andakt hans blod i støvet; 	vinden nynner med bløte toner	0
og storflokken styrter fra fjellveggen ned	med småbåter like innunder	0
med hver mann som en kjenning!	i dagens sol og brenning,	1
uten skrupler, uten snakk.	Har jeg så ei tjent en takk.»	1
Hvorfor nøler han nå? Guds kall han har.	Hans kappe i kne Elisa tvinger,	0
enn noen gang den var,	av Kristi fotefar.	1
og hele ens hjerte må kime	fordi man har skjelvende feber av fryd	0
Barnabas, den vise, ømme,	Skal da hele livets sti	0
litt mere i sol og i le 	Nå suser en sang i vårt tre	1
Men Baal stod taus. Deres rop og skrik	måtte i sannhet en sten kunne røre.	0
som hans moder  meg alene.	Ubegrenset var min lykke,	0
Godt mot! Du hilste på fler enn meg,	skjønt du i skyndingen så det ei.	1
Ennå vil sjøgangen hurtig bli smul,	og brottene holder seg nede;	0
og nedbryte avstandens skille	skal brødrene finne sin halvglemte bror	0
som stjernetåker slengt	av navnløs duft bestenkt.	1
Stenene gnisler i havets munn	som frådende tygger på stranden.	0
et så levende sinn mot de hine.	her ror i sin verden av havskrømt og sagn	0
når folkets klager sønderrev hans sjel	når alt han ofret for sitt folk i nøden,	0
«Dere krypende jøder! En slekt av slaver!	hvem førte din ære til fremmede lande?	0
når av vei ei finnes spor.	Er vel kravet, at på ny	0
sin rosenseng av dine tanker.	Når du er gått, min elskov sanker	1
Og ute på sletten bak steingjerdets hegn	og hilste godnatt i det blåanende vann	0
Hoi! Vår slede flyver nesten	Frøs ditt blod til is?	0
Hopen raser — hatet brenner,	Jesus seg mot hopen vender	1
Og Tinget — å, jeg bøyer meg ved navnet:	Men enno er det bare tegn på savnet	1
med gammel glans av gud tsar	Slik har jeg alltid visst du var	1
skuffet talte, mens fra stranden	Slik den ene til den annen	1
ved dette mørkeblå hav,	har våren kanhende et evig hjem	0
de lyttet til tonevellet.	og stirret fortapt mot fjellet.	1
I den falt gnisten av min moders lyse	men den vil lenge etter døden lyse.	0
Som orm i støvet han seg vrider.	ei felles kan av jern og stål.	0
forkynner ham et ubrutt velde;	og Guds forbannelse derav.	0
som fører hans verk mot fullendelsen frem.	Og dog — om hans hånd er fast, så bever	0
av drømme overskyet,	hvor sært at du kan ligge her	0
og menn var ikke menn, og livets mening:	bort fra en verden, kald i sin forstening,	1
En elsker er du, jåa hannen	Du er ikke bare mannen,	1
fremstråler gjennom øyets ild,	bær bud om kjærligheten mild.	1
ned i dødens stille elv.	ville gjøre fyllest selv,	1
Men Eivind Bolt, den gjæve svenn,	den røde munn han atter så,	0
Da klang hans lur så full og klar,	og mørke klippers lange rad	0
så skal jeg spytte på flekken og legge hodet dit fil.	Si fort, Nils skredder, hvor du ligge vil !	1
til den kjære viv, når lengslen blir stor.	«Tror du han kommer Så faller hans ord	1
Og for hyrdens fot han ligger,	«Jeg har syndet! Dommens flammer	0
Det slog meg som en undring at det engang var meg	i samme gamle ordløse kvide.	0
De reiser kampen for sin unge rett	i jord og luft, som gjør én sunn og mett	1
min tilflukt og mitt håb i liv og død.	utslett i nåde alt hva jeg forbrød.	1
for å se hva du ville. 	Og møtte de ikke din sjel på sin vei	0
hvor fortaumen deler all storlina opp	en meter fra feste til feste.	0
fra dyp som øyet anet kun,	og der den lette tåkeluft	0
de klare kirkeklokkers klang,	og sølvet skalv i huldras sal	0
Når stundom man et større røre sporer	I byen pøbel og nobless seg morer	1
Men takk — at også jeg engang	og natten med til verdens ende.	0
av Herrens styrkes hav.	med ødsel hånd han gav.	1
For over øde fjeld og hei	Hans spor skal føre inn til deg,	1
den hvilte snart blant rosers flor	i den en svart, usalig makt	0
søk i le før vinden feier	over is og sne	0
hytter og hus og ingen borge,	Norge, Norge,	1
er kommet. — Og med samme kraft som før	til svik og frafall folket han vil tvinge.	0
Det minner om lier ved gry	Nå fører vi somren i by	1
så forunderlig inne bak vesten et sted,	Der suste forbi meg i bil nettopp nu	0
som ens Vert mer stemplet.	som han gjorde før så titt !	0
Så ble det rolig, jeg sprang frem	som fra en skipsrigg strømmer!	0
«Peterl Du er klippen sterk.	det er ei naturens verk.	1
Har jeg stått på en bakk og latt drømmen	gå foran meg iland i en by	0
Og mens det store, fjerne minne	du hører Olavskilden rinne	1
Den påstand er luftig som bølgenes skum,	og dertil så lodden og endetil dum	1
Alt som i farver, skrift og sten er skapt,	kan vidne evig. Må vår kunst gå tapt?	1
ve oss, om vi det forglemmer.	av Jehova selv forkynt.	0
og de spede ranker binde.»	for å styrke deres hender,	0
Det som er dagligdags,	det nevnes ikke nettopp straks,	1
I høytidsdrakt på kirkesti	Med senket blikk og lukket munn	0
Din skalle ble et prektig askebeger	og slapp å råtne mellom mark og teger,	1
og utenfor strømmer i rekke og rad	det samme talløse mylder.	0
og lagt dem i en felles grav.	av liv han ved sitt under gav.	1
Her gripes ditt hjerte av hele det kor	som løftes på rytmenes deiligste ord	1
For alt jeg i verden eier	og blomster som vugger og neier	1
Men den tause mann på skipets dekk	stirrer over mot Kaystros munning,	0
siden må med hast han ta avsted.	dagen ut, ja langt på natten med,	1
Atter til de kjente steder	underlig i hu de treder	1
Han prøver  kanskje hun er kåret:	enn vandringsmannen våget vente	0
En eneste sang til kvinnen,	en eneste sang forinnen	1
Her må du stave	skriften på grave	1
Hun satte de vakreste jenter i rad	og selv satt hun høyt i sin sagastol	0
Hun blek og bøyet går bak båren 	hun hører ikke fuglens toner,	0
Der ble jeg viet først til død og kulde,	og kildene i jord mot frost løp tomme.	0
og lukker hans øye til.	dens bror, så taus og mild,	1
hvor norskdommens vinger i vannene slår,	for alt som vil vokse i solen !	0
en kirke som krøker seg over sin mur,	Mens engang med tårn i den flyvende sky,	0
nyskapt igjen ligger hav og land	skjærene løftes av tåker,	0
er der latter og dans;	på sin brudekrans.	1
Med angrens beske kval i sinn,	Han går, å banke på hans dør	0
valget er gjort, og veien er klar.	helvedes fyrste han tvang i kne,	0
han som forråder meg, se han er nær.	Da når deres ører en reddsom lyd	0
og sender til sin unge venn som lider.	Hanssisbeord! Hvis lys til alle tider	1
og norske verker gå fra Norges indre.	er hjemmets bilder blitt oss mere klare —	0
i verdens gråt og gru,	og dør i neste nu.	1
Er det ham nok? Jeg snart tør finne	Hvorfor skulle vel en hyrde nøyes	0
i svermeriets tankeløse prent,	som ei ble skjendet eller endevendt	1
Men stundom for Høla han legger seg inn	hvor loddskuddets kurver i sjødypet går,	0
hindringenes steile bjerge	skremte. Så for pliktens krav	0
for frihet, for norskhet, for Norge, hurra!	Og fjellene selv roper langt hurra.	1
«Å feige broder! Hvilket verd	Du bryter dem i samme stund,	0
Om foten brenner, jorden ryster,	om angstens grep ditt hjerte kryster,	1
første mann som svor ved gildet,	første sterke, klare tro,	0
og de friske forårsvinder gynger	mildt en vemodsmettet avskjedssang,	0
forlengst er forbi, hans altere brente.	han fikk av henne sin avskjed og dom.	0
Vi finnes over alt  dog ikke spredt	vårt avkom gror.	0
I lys av Guds fred står hans oldinge-verd	I lyset av Guds fred, hvor det strålede hans blikk,	0
nå strid skal føres om slektens skjebne.	De kles i panser og lar seg væpne,	1
i selvbedraget ved ikarisk stigen!	Men her skal alle stryke løs på gigen,	1
ga meg til i vredesmot å støpe	grov med ville hender ned i sandet,	0
Vær hilset folk med denne bolk	av sang i rim og sverte,	0
Knut var både grim og gram,	helst i veg på hesteryggen. 	0
Av det som du drømte er allting sant,	har reist seg i mine skritt.	0
da vi alle måtte trelle	Hvilken lykke ham å felle! 	1
mektige fjelle tar det i favn.	speiler Kaystros' skinnende sjøer;	0
i vår gate, hvor alt før var grått!	var hverdagen slutt, og en sol danset frem	0
mørk og tung i hu som før.	Opp min venn! Besøk din have	0
Videre, videre! Aldri tilbake!	Templene kaller... Rid, rytter, rid!	0
Da hadde det vært bedre med arrest og brisk og bøter.	Omsider er han oppe. Men en storm som den han møter	1
tilbake til hjemmet, sin faders gård.	Halvt som i drømme Elisa når	1
hvor allting er så stille og for stormene i le	Men jeg måtte videre, for jeg visste om et tre	1
O fri meg ut fra all min plage,	løs du i miskunn mine bånd,	0
på skyggeløse sletter, hvor livet er en blund	uten værlag eller år.	0
Han fyller med mjød den veldige kanne	De svarer ham alle med smil og med nikk	0
har ord og løfter i din munn?	Du bryter dem i samme stund,	1
og prata en skuledonk tull.	te Keisern blei søkka full	1
og våre veier rene.	og tjene Herren ene.	1
og slippe meg frem til et hav bak en li.	Og atter må døden gi drømmene fri	1
Her Vågakallfjellet er rykket deg nær,	Han svermet for Molla som Geita og gjør,	0
og kronens løv i lysreflekser spiller.	Men altets lysstrøm over kronen glider	0
Hvorfor skulle vel en hyrde nøyes	med mindre enn en konges krone?	0
Der sniker en het melodi	En kvinne glir langsomt forbi.	1
vi aldri for alteret står.	Vesle min hue, for visst jeg tror,	0
åndens syner, tankens flukt,	snart i marmor, snart i sten,	0
Han funnet har sin flyktnings spor,	skal hente ham til kongens bord.	1
Nå blåser solens flammemunn	til neste gry.	0
Engang, jeg vet, vil det rekke frem	Kanskje du alt har din dør på klem?	1
Hør settemaskinenes sang,	og pressens tungt susende gang!	1
og roper i kasser og trakter.	De fanges på snorer og piner seg frem,	0
ned over alle enger,	svarte, avgnagde åser,	0
hvis min sjel var blitt minnene tro?	eller vet du det havskår som lo?	1
slik tale så titt meg piner og plager.	bevises.  En hemmelig angst meg nager,	1
I vår og i vestenvind der har jeg hjemme,	det har jeg fått sande på mangeslags vis!	0
Solen stod og stekte	dagen lang,	0
Svensken sier, våre minner	at vi ære lettest finner	1
nå vet jeg så godt hva jeg engang har haft.	jeg står ved en tue og tigger litt kraft;	1
og sakte grep meg altets tyngde fatt.	Og i meg brødes enn som strøm mot strøm	0
der de kjempestore hvaler lander	der de røde frukter	0
I den høye, vakkert hvelvede sal	bakom den praktfulle slottsportal	1
hvis sjel er til det største kåret,	til storverk skapt, til frihet båret.	1
ingen styrer, ingen samler.	Folkets eldste råd må finne. 	0
Det er en overgang som meget annet,	Trafikkens framgang viden om i landet	1
Og småseien, morten som vel er dens navn,	da fanger du stimen i glipen!	0
for kanskje å høste en lønn.	med slå — og der hjalp ingen bønn.	1
er smukt, betryggende for folkehellet.	å slå med Moses' tryllestav på fjellet	1
Men stiftets engel flyr fra dette fengsel,	Her har dog tanken en slags takt, en lengsel,	1
