sent_a	sent_b	rhyme
Ham tankene driver til fortidens land,	til barndommens lek ved Cydnus's strand,	1
Men hans bødler hviler ikke.	førti menn med hånd og munn	0
det skyldfrie offer! Så kaller de ham.	For selsom likhet! — Guds blødende lam,	1
gudsrikets væren står på spill.	om slaget rammer kjære frender,	0
for Herrens verk til jordens ender.	en frigjort bror, hvis hjerte slår	0
med kval i hjertet og med gråt i øyet.	av tunge sorger er hans hode bøyet.	1
La tørres din torv og la tørkes ditt høy,	så hesjer vi høyet på strenger !	0
synker mot sin venninne,	når du ikke meg?	0
dråpevis til jorden rinner	Foten trettes, kraften svinner,	1
Hans virke for freden var kronet med hell.	som aldri tilforn noen julekveld.	1
og trådte i fedrenes fotefar.	Dit stundet han stadig. Og visst var han glad,	0
for et jordisk øye strålet.	stirrer lengselsfullt mot målet,	1
Og de vil drives tilbake og vises sitt hvilested.	Kanskje det samme hjertet som kunne ha gitt sitt blod	0
og ikke nøye seg med vakkert prat.	Så still deg ved min side, kamerat.	1
hvor det ruver bjerge alle steder,	Til den annen side raskt de treder,	1
«Det er meg! Han stråler som solen klar,	og høy majestet hans panne kroner.	0
ser jeg halvveis i drømme en gatelykt stråle.	Langt nedi et dyp som jeg ikke kan måle	1
og gluntan i gatene yrer.	i krongule oljekleshyrer.	1
utenfor, hvor intet hemmer	skriker: «Sten ham! Vi er fri!»	0
Ikke nå, men siden, siden	går det lett!	0
Tiden likner en krukke,	Det gamle slagur må sukke,	1
hvis bergvegg langs strendene steiler !	da åpner seg pollen med vidformet plass,	0
det som kan gjøre en konge så beklemt.	eller en av dine smukke veninder?»	0
Liten og stor da kjenner seg trygg,	usleste trell får rette sin rygg	1
Herd din unge evne,	Engang skal vi hevne.	1
sin fiskerbåt på hav og fjord!	vår skjæromkranste kyst!	0
andre toner synger i hans sinn,	Og når Paulus fra den brede fjord	0
Deres kongelige høyhet er inkognito i byen?	når hun kommer fra fabrikken som en sol i svarte skyen,	1
Han griper omkring hennes myke kropp	de suger den hellige ildbølge opp	1
Hvilken lykke ham å felle! 	under angstens mareritt. 	0
der lå kun en tysk admiral-fregatt	under Skånes kyst.	0
og manet i jord av det klokkeklemt	som ringer fra Øksnes på tangen.	0
for den Gud som evig lever	Bøy deg! Tilbed! Vi forgår!	0
La verden vrøvle dagen lang	fikk se din røde fane brenne!	0
til hallens dør og ut gjennom den.	og gjestene fulgte i vill uorden.	0
Aldri så myk og bløt var hans røst,	og syntes i ett og alt deres like,	0
du fører den svakes strid	din nåde til evig tid.	1
Da fløy ifra borde hver stump av vårt,	med forbannelsens ord!	0
Se, fra syd, i solens dis.	over skipets rigg og rær	0
kanskje du kan vise veien.	mørket faller på,	0
og dokkene går opp som dype fengsler.	og menn og okser over broer drives.	0
I suset av rognebærtreet.	der oppe på trammen en tyvstjålen stund	0
som smuldrende likstener veggens nisjer dekker.	mot veggen, hvor de troner som mumier i rekker;	1
Men tilbake det satt her i Krabbevåg vær,	over bårene lille Regine!	0
et kvad der egoistens stemme runger	et evig hungerskrik fra ravneunger,	1
en harpelyd der brystet eier strenger.	som løser skjebnens grelle dissonanser	0
Hvis dom i alles tanker spøker,	for tørkens skyld som herjer landet.	0
i det som i stenstuens rute	har kun lengslene speilet seg av.	0
og villig er den minstes trell,	sitt eget blod for slektens gjeld!	1
Ti ellers er ditt kjære ansikt grått og trett	og blikket sykt av all den armod du har sett:	1
lå på kne og bad,	kongens kjemperad	1
Kun så det syke leges kan.	som skaden kan i roten ramme.	0
I smått og i stort kan du høre min røst	som taler med livets munn.	0
Hans værelse venter ham, alt er beredt.	Nå må han være så trett, så trett.»	1
Fabrikkens piker har det også sånn	og blå i øynene som blåe bjeller!	0
ydmyg lyde!  «Nei, du feiler,	Ti og gål Og aldri mer	0
i konge-skiftets sorg der sør,	jeg følger heller Magnus død	0
stjernene svømmer	nevnende sommer,	0
Fra ditt norske sinn	skinner lykken inn,	1
de seirende skarer,	med rop og fanfarer,	1
før dagningen tenner sin lysglød i syd	står kjelen på ovnen og putrer.	0
Og tryghet falt på oss og tanken gikk til ro	av jordbundne trær som fra evigheten stod	1
Kjærlighet til denne jord	du for himlen tenner.	0
hver havets bølge var et kvad,	og skyens kyss på snehvit tind 	0
Så sadler hun også før leken tar slutt	mot stjernenes sølvstøv galer.	0
da til den hårde strid han gikk.	Jeg bevet for ham; ti jeg så,	0
«Det er meg! Han stråler som solen klar,	«Nasareeren Jesusl» er vaktens svar.	1
Hinsides Jordan, hvor Døperens tale	ei langt fra den borg, hvor livet han gav,	0
alene for en håndfull jøder,	den over tid og rom seg hvelver,	0
den første med seil i topp.	sitt første dristige hopp.	1
«Jehova!  Se så der er det. Jovisst!	Du skjelver for skygger. Jeg frykter din hjerne	0
Og lyset sluktes og brente litt,	og dagen kom og gikk over.	0
Min gjerning snart er gjort. For sol	må stjerne blekne. Kongestol	1
til sin dont av natten kåret	gatens barn med løv i håret,	1
hverken vismenn eller dårer	Ti rettferdighet og nåde	0
er i dypet der liten forandring !	og om vindrossen visper i sjøene vilt,	0
Han tok den, han kastet og tok den igjen:	og jublet mens han sprengte over aker-renen hen:	1
halvveis i sandet begravet;	og drømte om dens ferd over havet . . .	1
blodigrød og uhellsvanger	straffedommer fra det høye —	0
Armer rundt i luften fekter,	Mose lov, om han ei dør.»	0
der man vil kontrollere en minister,	mot Don Migueler er man ytterst bister	1
broderskaren tett og nær,	over alle, hver især.	1
Som glemmer sin storhet, som svikter sitt kall,	som kryper for makten, som smyger for skinn,	0
går så dit hvorfra jeg kom,	hjem til himlens helligdom.	1
hvor gatene nettopp begynner å bruse	i solglimen inn i en våknende by,	0
Den store Jomfru lå lenket	under himlen sitt blide bryst.	0
Men mellom stein slo slekten rot,	der ingen dvergbjørk stod imot.	1
hvor fyret med lysøyet glipper.	inn bak om dens molo er bygget en havn	0
«Ei heller dette hjalp. Hvor han er sikker!	På ny jeg tapte, alt gikk opp i røk:	0
den kunne ikke stige 	Jeg hørte den ei skrige,	1
Slik så jeg deg. Fra fortids fjerne strande	ditt bilde lyser over slekters hav.	0
så seildukens flate kan fylles.	foldes seilvingen ut over skavlenes skum	0
som grådige gribber slår tankene ned	av menn som blødde, av kvinner som led,	1
Her slynget han mot folk og land,	det gløder med en hellig flamme	0
Et flyktende sekund de glemmer	og lever helt i det som er.	0
hver en byrde, hver en smerte,	ble som billedsmykte drømmer.	0
glemte ikke at dens beste toner	lød på fjellet i en hyttevrå.	0
ditt grønnsvær som klippene dekker.	Vær hilset din skog imot viddenes sne,	0
Ja vel, o konge, dristig, men vis.	Din nølen fletter deg svøper og ris	1
Ti jeg har svoret til mitt folk og sagt,	som intet anslag i opløsning bringer.	0
For meg er hun herskerinnen,	en strofe av livet selv.	0
Damaskus med de store minner	i soldis for hans blikk forsvinner,	1
til noe mer som skal vare!	O at de dog måtte svare	1
Gå ut og frels!	til dranker og dovenpels.	1
seg selv at stå,	nedspeilet i sjøen med himlens blå!	1
bøtes i fjøset og ofte ved bord.	syntes ei dyrkbar, og endeløs myr	0
fromt han skygger for sitt øye,	ti han ser den Evighøye	1
Den er sterk, hvis blikk er koldt	fester kransen om sin tinning.	0
som åndens gang på jorden, der død ei vet av.	til følge og til varsko la'e åpen for deg.	0
kom hvitlig røyk og svevde hen	og der den lette tåkeluft	0
og mindre og mindre lange.	Hvor denne ferd er sær,	0
men intet bilde i den store drøm	erstatter oss fortapelsen i nuet.	0
med kupler som gylne pokaler,	der raktes mot verdens befaler,	1
Her står han nå som lenket fange,	Hvor ble de av? Hans ungdoms sange,	1
Den ligger inni gaten her, hvor nummer «13» står,	De spør hvor Nr. 13 er  vår kjære gamle gård?	1
svinner som skummet i brenningens sus.	glade seg sammen rundt Simons hus.	1
spenner sverdet ei fra lend	uten tvil om seirens krans.	0
Blytamp, Fryden, Blindebrottet,	hele fjordens gap blir fullt,	0
spenner sverdet ei fra lend	Men hvor lenge? Maktens menn	1
alle skal frelses, hvor enn de finnes.	«For ham skal jorden og slektene vinnes,	1
han svarer for verden	på tusenårs gåter.	0
I Kristi lys — han så det grant	Hans viden var en ormett prakt,	0
som ikke er grå av røk.	så blir det på kort besøk!	1
Og intet vingeslag når solen rinner,	og løfte nuet mellom kraftens minner!	1
hvor hver en kval er slukket når vi sover	og alt vårt tap et åndedrags forøden,	0
Gikk da ikke samme morgen	selv i fangens ledebånd?	0
sin varme, lille hånd igjennom gjerdet!	en gutt som kommer for å frelse meg!	0
Sin siste? Ja, hun før fikk friste	og Ve, som ordet enke rummer.	0
den gjør modig små og bange,	den gjør målet tyve gange	1
en ungersvenn så strunk og stolt	at ingen var hans likemann	0
Vi drakk i en kro et glass vin  og ett til	og Krimskaja Vina er is og ild!	1
får en herlig seierslønn.	Tal til Israel, min sønn:	1
tindenes konge i ensomhet troner:	med issen forgylt av den synkende sol.	0
Tiden går  og folket famler	Folkets eldste råd må finne. 	0
i dagenes rolige lyst være sammen;	og føyer til kveldshimlens purpur mitt amen.	1
Se, fra bjergets klarhet treder	folkemengdens skrik og larm.	0
bølger rikt i sol og vind,	moden til å høstes inn,	1
Også nå brast fangens strikke.	om de nyter vin og føde	0
Dagen som de gamle skimtet	i den gamle seers ord.	0
aldri kan til Gud de finne	vadende i løgnens dynd.	0
med stive ord og klapp.	og sydd og gredt omkapp	1
Her møter du tiden og ser hva er hendt,	til New York, Medina og China.	0
har tapt sin makt, sin glans.	uvisnelige krans.	1
Hvor er den lille by, ved flod, ved kyst,	på fjell måskje, som ligger ganske tyst	1
din ungdoms munn.	i denne stund,	1
hvor tuen skal dekke din kiste!	Og banker enn hjertet med trofaste slag,	0
Aldri lød der sådan tale	aldri lød der sådant bud,	0
I slektens skyld enhver har del og lodd	Og hver må høste hva han selv har sådd.	1
Men Stauperluen holder meg fast som en fugl	er havet i sin fødselsvé  havet!	0
som tente og tæret,	som lengslene næret,	1
om du sier at du slet deg opp fra bare visergutten	det får andre også gjøre som vil opp	0
som langsomt lægger broer fra himmel og til jord,	Det flimrer og det flammer, det former seg til ord,	1
Elskoven kjente vi ikke. Det var forplantningens trang.	Med kvinnene avlet vi unger, som kravlet og sprang	1
Mitt ord deg dømmer, når for ham du står.	Jeg kom fra Gud, og til ham jeg går.	1
Jeg kjente under skuldrens bør	var alt og alles venn.	0
er min vuggegave legerot.	der min vugge overskygget stod.	1
og jeg hører fordrømt hva menneskene snakker;	at min sjel som en flamme i dørtrekken flakker.	1
Hans mål var ett: Den greske ynglings flid	ei øyeblikkets lyst var løpets fane,	0
av gatedypet som vi lever i.	ved fanen over Kreml seirer vi!	1
kan fylle sin båt eller kyle med fangst,	Om ofte han også bak slit og bak angst	1
Jeg føler jeg må gi meg til å snakke,	hvis bare min prinsesse tar til takke!	0
Jeg velger meg april,	fordi den stormer, feier,	0
så hun til sist de skjulte spor	til visdom fant i livets gåde.	0
senkes over berget ned.	Og en fred	1
Årstider skifter,	evig i skapelsens mektige bok.	0
ungdommens gylne vår ligger bak,	er rundet  det beste av livet forbi.	0
Dag for dag på stridens skanse	takkens sang i hjertet toner,	0
Ingenting vekker jeg,	stilheten trekker meg	1
Skip strøk jeg da med myke hender,	for en fugleflokk et fredfullt rede.	0
Men Iosen i billedet skiftet vel snart	den siste han kjenner vi alle!	0
det er rytmen av dem som har farvet dets kinn,	og i øynenes dyp kan vi skimte dets stjerne!	0
jeg kogler frem all verdens prakt og glans,	så sløres skal hans klare dømmesans.	1
Mon det er hint vandaliserte tempel	som svensken plyndret og som du har kalket?	0
Gud hjelpe den som ikke kan	der kommer også tid da han	1
Men den lunkne hær må ildnes,	rundt om ham som ligger der,	0
da taler klart en liten gren.	Da lyser vårt en liten sten,	1
et folk av rotter under kaiens sviller.	Så såre stillheten allverden sluker,	0
For Paulus mørkner dagens bryn.	Men uten frykt, med fred i sinn,	0
Der blomstrer et dikt i ditt drømmende blikk,	i bil til den fornemme, store butikk	1
Og fordi de eldste dog	derfor drøfter de så gjerne	0
men stikkes i skjeden. Skremmer dem syner?	Dog skurkene nøler  dolkene lyner,	1
og kornakset samle på gullet.	med spader og hakker den arbeidets hær	0
Nå rekker atter den mot lyset opp	har mettet den inn i din aften silde.	0
Så går østavinden	og mot vesten vandrer skyen blidt,	0
Århanen buldrer sent og tidlig,	hele berg av sølv og gull!	0
vi skilter med vår jord og med vår himmel,	og lager vind når helst vi burde blues.	0
og ikke noen dress.	i turnipsåkerns gress.	1
fjernt på en klippeskråning ned	og solens siste stråle gled	1
En spovehan seiler så døgnvill omkring.	og fløyter i nebbet sin klage.	0
og mangt et løfte brast og gikk itu.	og blod og sved,	0
vil for deg det småting være	ned fra tindens spiss, den faste,	0
Hva høres ei av skryt fra klippemuren	Man tror det gjelder her å kunne trykke	0
på din slumrende ånd;	i vinterdvalens bånd.	1
og vinden som bruser gjennom himmelhvelvets port	river meg med mot det høye.	0
Hver vindbar koll	går søndensuset og den blanke strøm.	0
Mørket spredes. Vennlig skinner	av en grufull angst betynget,	0
Vi kjenner a, for vi har sjæl så ofte måtti be'a	å spara litt på dynamitten! Bare bi litt nå!»	0
der lodne fauner i basuner støter,	og glemte lykkelig sitt stevnemøte	1
ville reise seg ogg å innover jorden!	jo mere de fikk føling av fjorden!	1
bleke, blødende i døden,	stjerner lik i morgenrøden,	1
Hvert spirende strå, hver urt som gror	skjønt ljåen skal gjennom engen fare.	0
Å velge luer og forkaste hatter!	og holder fast ved den konkrete setning:	0
Hver en flyktning ble en såmann.	langt utover landets grenser,	0
og der man lett kan skjelne to slags stammer:	er kvintessensen av de bitre drammer,	1
Det er ei kasteskyts og ei gevær,	hvormed den smykker sine rustne spær!	1
mens sammen de dvelte i nadverens stillhet —	Så talte han til dem, med styrke og mildhet,	1
allevegne kun ved ryktet	ørknens røvere er flyktet	1
Da bruste det og sang under ekenes hvelv	som om røsten fra det dype og høye	0
vadende i løgnens dynd.	Lyd mitt ord! Gjør mitt bud,	0
Her skal virkes og kjempes med husbondsvett,	med høyavl som strekker til våren.	0
som holder det syndige leven!	Han smiler og truer med neven	1
Heller ei som jaget fugl	fienden er hans egne frender,	0
og legger sin glans over fjorden	så jeg ingenting ser uten den.	0
oppetter slette fjelle', 	følg du vakkert din bjelle!	1
Hele byen stusser, grunder.	Ørknens sønn med solbrent hud,	0
glansen fra hans øye:	den Evighøye;	1
kan bare gi forstening eller blærer.	kal følelsen mens den i brystet gjærer,	1
landet rundt til dets ytterste vrå.	Barn og kvinner og menn, hvor de finnes,	0
sure menn, som aldri brente	blodets brusen, het og vill	0
Denne dagen skal du eie, ja dens mange gylne timer	Kan du høre der er klokker i din sjel som sølvrent kimer?	1
gav det høye råd befaling,	uten hver forhaling	1
at man minsker på seilet og firer sin rå	hvor brenningens tordenrøst raser!	0
Folket var fattig, og veiløst og vondt	herjet det hjelpeløst. Sultefors kost	0
og rustet til fremtidens møye.	dets stjerne hans våkne øye.	1
i takt med merkverdige toner og lyd!	fordi man har skjelvende feber av fryd	1
av bjeller og ringlende ridetøy-.	det hørtes et skrik: Det er Oskoreien!	0
Også nå brast fangens strikke.	sverger over ofrets flamme,	0
